"","Soil_1a","Soil_1b","Soil_1c","Soil_2a","Soil_2b","Soil_2c","Soil_3a","Soil_4a","Soil_4b","Water","Zymo_mock"
"Chloroflexi_unclassified",34,0,53,53,0,78,23,68,90,0,0
"Chloroflexales",297,0,387,34,0,36,27,12,24,0,0
"Chloroflexia_unclassified",19,0,19,20,0,15,0,2,0,0,0
"Kallotenuales",12,0,30,83,0,81,2,0,1,0,0
"Thermobaculales",0,0,0,1,0,0,0,0,0,0,0
"Thermomicrobiales",179,0,279,894,0,946,25,241,225,0,0
"Dehalococcoidales",0,0,0,0,0,0,0,0,1,0,0
"Dehalococcoidia_unclassified",0,0,0,1,0,0,1,3,4,0,0
"GIF3",0,0,0,0,0,0,0,4,0,0,0
"GIF9",0,0,0,0,0,0,0,1,0,0,0
"MSBL5",0,0,0,0,0,0,0,1,0,0,0
"S085",55,0,64,56,0,77,4,185,272,0,0
"SAR202_clade",0,0,0,11,0,8,0,45,90,0,0
"Gitt-GS-136_or",298,0,354,581,0,766,9,190,185,0,0
"JG30-KF-CM66_or",13,0,18,32,0,40,3,86,112,0,0
"KD4-96_or",395,0,505,353,1,544,60,333,378,0,0
"B12-WMSP1",0,0,4,0,0,0,0,0,0,0,0
"C0119",25,0,60,28,0,58,5,0,0,0,0
"Ktedonobacterales",219,0,205,0,0,0,0,2,3,0,0
"OLB14_or",1,0,7,5,0,5,2,22,33,0,0
"SHA-26_or",22,0,26,11,1,8,3,0,0,0,0
"TK10_or",244,0,240,119,0,93,5,12,20,0,0
"Cyanobacteria_unclassified",0,0,0,0,0,0,1,0,0,0,0
"Gastranaerophilales",0,0,0,0,0,0,0,1,0,0,0
"Obscuribacterales",0,0,1,0,0,1,0,0,0,0,0
"Vampirovibrionales",0,0,1,0,0,0,0,2,1,0,0
"Leptolyngbyales",0,0,0,0,0,0,2,0,0,0,0
"Nostocales",3,0,1,2076,0,639,17,42,32,0,0
"Oxyphotobacteria_Incertae_Sedis",0,0,0,17,0,6,0,0,2,0,0
"Oxyphotobacteria_unclassified",0,0,1,7,1,0,4,2,1,0,0
"Phormidesmiales",0,0,0,5,0,3,3,0,0,0,0
"Pseudanabaenales",0,0,0,0,0,0,2,0,0,0,0
"Synechococcales",0,0,0,0,0,0,7,0,0,0,0
"Sericytochromatia_or",1,0,1,6,0,15,1,41,60,0,0
"Dadabacteriales",0,0,0,0,0,0,0,18,25,0,0
"Deinococcales",0,0,1,13,0,9,0,2,4,3,0
"Thermales",0,0,0,0,0,0,3,0,0,30,0
"Babeliales",17,0,13,2,0,3,0,33,34,0,0
"Elusimicrobia_unclassified",0,0,0,0,0,0,1,0,0,0,0
"Lineage_IV",0,0,2,0,0,0,0,0,0,0,0
"MVP-88",0,0,0,0,0,0,0,2,2,0,0
"Endomicrobiales",0,0,0,0,0,0,0,2,0,0,0
"Lineage_IIa_or",7,0,3,0,0,3,1,0,4,0,0
"Lineage_IIb_or",1,0,7,5,0,12,4,12,9,0,0
"Lineage_IIc_or",1,0,0,0,0,0,2,1,4,0,0
"Entotheonellales",80,0,78,107,0,83,0,140,245,1,0
"Campylobacterales",0,0,0,0,0,0,0,0,2,0,0
"FBP_or",1,0,2,39,0,57,0,0,4,0,0
"FCPU426_or",0,0,0,0,0,0,0,1,5,0,0
"Chitinivibrionales",0,0,0,0,0,0,1,0,0,0,0
"Fibrobacterales",2,0,1,7,0,7,0,50,45,0,0
"Bacillales",30,0,81,100,0,80,8,1255,1066,353,9058
"Bacilli_unclassified",0,0,0,0,0,0,0,0,2,3,53
"Lactobacillales",0,0,1,0,0,0,0,1,3,183,2395
"Clostridia_unclassified",0,0,0,0,0,0,0,1,0,0,0
"Clostridiales",2,0,13,41,0,21,16,240,175,202,0
"Erysipelotrichales",0,0,0,0,0,0,0,0,0,3,0
"Firmicutes_unclassified",0,0,0,0,0,0,0,2,1,0,0
"Selenomonadales",0,0,0,3,0,0,2,7,12,20,0
"Fusobacteriales",0,0,0,0,0,0,0,0,1,8,0
"GAL15_or",0,0,0,0,0,0,0,1,0,0,0
"AKAU4049_or",0,0,0,82,0,148,0,65,70,0,0
"BD2-11_terrestrial_group_or",2,1,1,18,0,21,6,126,206,0,0
"Gemmatimonadetes_unclassified",0,0,0,0,0,0,1,3,1,0,0
"Gemmatimonadales",465,0,571,435,0,534,161,189,281,6,0
"Longimicrobiales",2,0,11,114,0,138,11,102,117,0,0
"MD2902-B12_or",0,0,0,0,0,0,0,1,1,0,0
"PAUC43f_marine_benthic_group_or",0,0,0,0,0,0,0,24,25,0,0
"S0134_terrestrial_group_or",9,0,3,31,0,53,44,191,274,1,0
"Halanaerobiales",0,0,0,1,0,0,0,0,1,0,0
"Hydrogenedentiales",0,0,1,3,0,3,3,19,44,0,0
"WCHB1-41",0,0,0,0,0,0,4,0,0,0,0
"Latescibacteria_or",75,0,82,4,0,7,21,102,272,0,0
"Latescibacterales",0,0,0,0,0,0,9,4,16,0,0
"SS1-B-02-17",0,0,0,0,0,0,0,2,2,0,0
"Margulisbacteria_or",0,0,0,0,0,0,0,1,0,0,0
"Moduliflexales",0,0,0,0,0,0,0,1,0,0,0
"P9X2b3D02_or",0,0,0,0,0,0,9,1,3,0,0
"4-29-1_or",0,0,0,0,0,0,19,1,5,0,0
"Nitrospirales",55,0,59,27,0,16,25,93,125,0,0
"Omnitrophales",1,0,3,0,0,0,0,2,9,0,0
"Omnitrophia_or",0,0,0,0,0,0,0,2,0,0,0
"Omnitrophicaeota_or",4,0,3,1,0,0,1,1,11,0,0
"PAUC34f_or",0,0,0,0,0,0,0,1,0,0,0
"Berkelbacteria_or",1,0,1,0,0,3,0,0,0,0,0
"CPR2_or",0,0,0,0,0,0,3,0,0,0,0
"Absconditabacteriales_(SR1)",0,0,0,0,0,0,2,3,5,0,0
"Candidatus_Peregrinibacteria",0,0,0,0,0,0,0,5,2,0,0
"Candidatus_Peribacteria",1,0,0,4,0,4,1,4,5,0,0
"Gracilibacteria_or",0,0,0,0,0,0,1,2,0,0,0
"Microgenomatia_or",0,0,0,0,0,0,0,1,0,0,0
"Candidatus_Jorgensenbacteria",0,0,0,0,0,0,1,1,1,0,0
"Candidatus_Ryanbacteria",0,0,1,0,0,0,2,1,0,0,0
"Candidatus_Yanofskybacteria",0,0,0,0,0,0,0,0,1,0,0
"Parcubacteria_unclassified",2,0,5,4,0,2,12,10,18,0,0
"Patescibacteria_unclassified",0,0,1,0,0,1,0,0,3,0,0
"Saccharimonadales",8,0,6,5,0,16,0,2,3,0,0
"028H05-P-BN-P5_or",0,0,0,0,0,0,0,1,2,0,0
"BD7-11_or",1,0,3,0,0,0,1,6,7,0,0
"OM190_or",7,0,15,13,0,31,13,176,310,0,0
"C86",0,0,0,0,0,0,0,1,6,0,0
"CCM11a",0,0,0,0,0,0,0,15,40,0,0
"MSBL9",0,0,0,0,0,2,6,9,5,0,0
"Phycisphaerae_unclassified",2,0,0,1,0,1,4,14,24,0,0
"Phycisphaerales",12,0,14,22,0,42,13,103,155,0,0
"S-70",0,0,0,0,0,0,0,1,5,0,0
"Tepidisphaerales",258,0,254,461,0,571,48,42,58,0,0
"mle1-8",1,0,0,1,0,0,3,1,1,0,0
"Pla3_lineage_or",7,0,3,0,0,0,0,14,39,0,0
"Pla4_lineage_or",4,0,9,3,0,14,6,4,6,0,0
"Gemmatales",399,0,548,183,0,181,9,236,242,0,0
"Isosphaerales",104,0,181,166,0,132,3,69,58,4,0
"Pirellulales",103,0,82,253,1,368,24,1134,1239,0,0
"Planctomycetacia_unclassified",1,0,0,1,0,1,0,12,22,0,0
"Planctomycetales",8,0,24,87,0,91,9,377,445,0,0
"Planctomycetes_unclassified",2,0,2,3,0,24,0,34,47,0,0
"vadinHA49_or",2,0,3,0,0,4,0,4,16,0,0
"Acetobacterales",47,0,130,121,0,71,11,8,14,4,0
"Alphaproteobacteria_unclassified",10,0,14,27,0,25,12,295,388,2,0
"Azospirillales",19,0,37,256,0,115,10,113,152,0,0
"Caulobacterales",19,0,20,59,0,68,9,179,237,13,0
"Dongiales",12,0,22,18,0,16,16,55,32,0,0
"Elsterales",198,0,214,3,0,6,2,14,32,0,0
"Holosporales",0,0,1,1,0,0,0,5,2,0,0
"Kordiimonadales",0,0,0,0,0,0,0,6,2,0,0
"Micavibrionales",0,0,0,0,0,0,2,21,23,0,0
"Micropepsales",9,0,6,0,0,0,0,1,2,0,0
"Paracaedibacterales",0,0,1,0,0,0,0,3,5,0,0
"Parvibaculales",1,0,0,0,0,0,0,1,10,0,0
"Puniceispirillales",0,0,0,3,0,3,1,22,40,0,0
"Reyranellales",19,0,20,4,0,6,2,36,33,0,0
"Rhizobiales",819,0,1061,477,1,441,94,1893,2283,31,0
"Rhodobacterales",4,0,8,242,0,181,12,512,739,2,0
"Rhodospirillales",3,0,0,9,0,10,3,25,62,0,0
"Rhodovibrionales",0,0,0,2,0,3,0,132,102,0,0
"Rickettsiales",1,0,1,0,0,1,0,13,11,0,0
"Sneathiellales",0,0,0,0,0,1,1,1,3,0,0
"Sphingomonadales",90,0,159,800,2,1029,31,609,764,3,0
"Thalassobaculales",0,0,0,0,0,0,0,12,17,0,0
"Tistrellales",11,0,17,582,0,386,3,1013,1005,1,0
"Bdellovibrionales",5,0,0,27,0,33,7,123,114,0,0
"Bradymonadales",0,0,0,0,0,0,0,15,35,0,0
"DTB120",0,0,0,0,0,0,1,0,0,0,0
"Deltaproteobacteria_Incertae_Sedis",0,0,0,0,0,0,0,0,1,0,0
"Deltaproteobacteria_unclassified",20,0,21,64,0,44,9,79,115,0,0
"Desulfarculales",13,0,14,1,0,0,4,39,60,0,0
"Desulfobacterales",0,0,0,1,0,0,30,122,114,0,0
"Desulfovibrionales",0,0,0,0,0,0,4,2,6,0,0
"Desulfuromonadales",0,0,0,0,0,1,34,58,103,0,0
"MBNT15",0,0,0,0,0,0,27,36,59,0,0
"Myxococcales",285,0,325,328,0,333,279,674,798,0,0
"NB1-j",0,0,1,1,0,3,8,155,408,0,0
"Oligoflexales",10,0,14,14,0,17,9,62,40,0,0
"PB19",0,0,0,0,0,1,0,5,2,0,0
"RCP2-54",41,0,48,74,0,51,15,125,165,0,0
"SAR324_clade(Marine_group_B)",0,0,0,4,0,4,1,2,10,0,0
"Sva0485",0,0,0,0,0,0,3,3,3,0,0
"Syntrophobacterales",0,0,0,0,0,0,9,79,129,0,0
"1013-28-CG33",0,0,0,0,0,0,0,7,4,0,0
"AT-s16",0,0,0,0,0,0,0,3,10,0,0
"Acidiferrobacterales",0,0,0,1,0,1,9,82,39,0,0
"Acidithiobacillales",0,0,0,0,0,1,0,4,8,0,0
"Aeromonadales",0,0,0,0,0,0,0,1,5,0,0
"Alteromonadales",0,0,0,0,0,0,0,523,575,0,0
"Beggiatoales",0,0,0,1,0,1,0,0,0,0,0
