"","Soil_1a","Soil_1b","Soil_1c","Soil_2a","Soil_2b","Soil_2c","Soil_3a","Soil_4a","Soil_4b","Water","Zymo_mock"
"RBG-16-55-12_fa",0,0,0,0,0,0,0,2,0,0,0
"Rubrobacteriaceae",24,0,87,329,0,284,1,1,3,1,0
"Gaiellaceae",367,0,479,428,0,509,22,262,300,5,0
"Gaiellales_unclassified",508,0,700,103,1,111,5,1,4,0,0
"67-14",958,0,1435,1391,2,1610,10,206,182,4,0
"Solirubrobacteraceae",484,0,759,468,0,521,9,28,33,7,0
"Solirubrobacterales_unclassified",88,0,120,178,0,249,9,26,19,0,0
"Thermoleophilia_unclassified",27,0,56,60,0,59,2,4,5,0,0
"WCHB1-81_fa",0,0,0,0,0,0,0,0,4,0,0
"Armatimonadetes_unclassified",0,0,0,1,0,1,1,1,0,0,0
"Armatimonadaceae",0,0,0,0,0,0,2,0,0,0,0
"Armatimonadales_fa",9,0,6,77,0,95,0,0,0,0,0
"Armatimonadales_unclassified",1,0,2,16,0,19,0,0,0,0,0
"Chthonomonadaceae",10,0,7,0,0,0,1,3,1,0,0
"Chthonomonadales_fa",31,0,41,2,0,11,4,0,1,0,0
"Chthonomonadales_unclassified",7,0,4,0,0,0,0,0,0,0,0
"Fimbriimonadaceae",5,0,7,11,0,24,6,9,4,0,0
"Fimbriimonadales_fa",0,0,0,0,0,0,1,2,1,0,0
"Fimbriimonadales_unclassified",0,0,0,0,0,1,0,4,3,0,0
"BRC1_fa",11,0,19,11,0,12,3,51,47,0,0
"Bacteria_unclassified",324,0,498,372,0,302,185,504,624,1,0
"Bacteroidetes_unclassified",0,0,0,6,0,1,0,13,18,0,0
"Bacteroidales_unclassified",0,0,0,0,0,0,4,0,1,0,0
"Bacteroidetes_BD2-2",0,0,0,0,0,0,2,0,1,0,0
"Bacteroidetes_vadinHA17",0,0,0,0,0,0,19,4,1,0,0
"Paludibacteraceae",0,0,0,0,0,0,3,0,0,0,0
"Prevotellaceae",0,0,0,1,0,0,0,0,0,43,0
"Prolixibacteraceae",0,0,0,0,0,0,17,2,0,0,0
"Rikenellaceae",0,0,0,0,0,0,14,0,0,1,0
"SB-5",0,0,0,0,0,0,5,1,8,0,0
"Bacteroidia_unclassified",2,0,4,36,0,28,5,38,46,0,0
"37-13",0,0,1,0,0,2,2,2,7,0,0
"Chitinophagaceae",165,0,243,530,0,712,44,219,305,6,0
"Chitinophagales_unclassified",1,0,3,2,0,5,0,2,3,0,0
"Saprospiraceae",1,0,0,7,0,13,16,129,182,0,0
"Amoebophilaceae",0,0,0,0,0,0,1,1,1,0,0
"Cyclobacteriaceae",0,0,0,1,0,5,9,403,523,0,0
"Cytophagaceae",0,0,2,25,0,35,0,2,8,0,0
"Cytophagales_unclassified",3,0,3,13,0,9,3,65,79,0,0
"Flammeovirgaceae",0,0,0,0,0,0,0,6,0,0,0
"Hymenobacteraceae",7,0,18,277,0,300,5,153,235,1,1
"MWH-CFBk5",0,0,0,0,0,0,0,20,34,0,0
"Microscillaceae",1,0,4,89,0,127,34,222,285,0,0
"Spirosomaceae",5,0,5,14,0,11,0,3,6,0,0
"Crocinitomicaceae",0,0,0,3,0,3,0,104,133,1,0
"Cryomorphaceae",0,0,0,0,0,0,0,47,55,0,0
"Flavobacteriaceae",0,0,1,7,0,13,0,366,503,0,0
"Flavobacteriales_unclassified",0,0,0,0,0,0,0,1,7,0,0
"NS7_marine_group",0,0,0,0,0,0,0,1,9,0,0
"NS9_marine_group",1,0,0,1,0,3,2,5,3,0,0
"Weeksellaceae",0,0,0,1,0,1,0,0,2,17,0
"AKYH767",6,0,8,0,0,1,3,4,4,0,0
"KD3-93",1,0,1,2,0,2,0,3,2,0,0
"Lentimicrobiaceae",0,0,0,0,0,0,17,0,0,0,0
"NS11-12_marine_group",5,0,2,1,0,4,0,38,33,0,0
"Sphingobacteriaceae",2,0,2,11,0,29,0,32,26,0,0
"Sphingobacteriales_unclassified",5,0,1,2,0,7,1,6,11,0,0
"env.OPS_17",4,0,9,6,0,15,7,31,33,1,0
"Ignavibacteria_unclassified",1,0,4,5,0,13,2,1,0,0,0
"BSV40",0,0,0,1,0,0,1,0,0,0,0
"Ignavibacteriaceae",0,0,0,0,0,0,8,11,37,0,0
"Ignavibacteriales_unclassified",0,0,0,0,0,0,3,17,25,0,0
"LD-RB-34",0,0,0,0,0,0,0,0,2,0,0
"PHOS-HE36",0,0,0,0,0,0,0,16,32,0,0
"UA-50",0,0,0,0,0,0,3,0,0,0,0
"BSV26",0,0,0,0,0,0,1,6,37,0,0
"OPB56_fa",0,0,3,3,0,2,6,6,6,0,0
"SJA-28_fa",0,0,0,0,0,0,1,6,5,0,0
"Balneolaceae",0,0,0,0,0,0,1,36,77,0,0
"Rhodothermaceae",0,0,0,3,0,6,3,81,91,0,0
"Calditrichaceae",0,0,0,0,0,0,0,6,28,0,0
"AD3_fa",165,0,153,0,0,0,0,0,0,0,0
"ADurb.Bin180_fa",0,0,0,0,0,0,1,2,3,0,0
"Anaerolineae_fa",1,0,2,0,0,0,2,0,0,0,0
"Anaerolineae_unclassified",5,0,7,8,0,5,34,69,94,0,0
"Anaerolineaceae",22,0,30,51,0,74,217,305,390,0,0
"Ardenticatenaceae",0,0,0,5,0,11,0,12,17,0,0
"Caldilineaceae",23,0,25,43,0,47,14,170,199,0,0
"RBG-13-54-9_fa",11,0,14,3,0,4,10,9,11,0,0
"A4b",7,0,14,4,0,20,26,421,628,0,0
"SBR1031_fa",20,0,24,1,0,21,88,193,317,0,0
"SBR1031_unclassified",0,0,1,0,0,0,12,11,11,0,0
"SJA-15_fa",0,0,0,3,0,2,12,25,18,0,0
"Chloroflexi_unclassified",34,0,53,53,0,78,23,68,90,0,0
"Chloroflexaceae",0,0,4,5,0,3,6,3,8,0,0
"Chloroflexales_unclassified",1,0,9,0,0,0,0,1,1,0,0
"Herpetosiphonaceae",0,0,1,10,0,14,9,1,3,0,0
"Roseiflexaceae",296,0,373,19,0,19,12,7,12,0,0
"Chloroflexia_unclassified",19,0,19,20,0,15,0,2,0,0,0
"AKIW781",12,0,30,80,0,76,2,0,1,0,0
"Kallotenuales_unclassified",0,0,0,3,0,5,0,0,0,0,0
"Thermobaculaceae",0,0,0,1,0,0,0,0,0,0,0
"AKYG1722",0,0,8,25,0,33,2,18,6,0,0
"JG30-KF-CM45",176,0,259,863,0,898,23,168,166,0,0
"Thermomicrobiaceae",2,0,6,3,0,5,0,1,0,0,0
"Thermomicrobiales_unclassified",1,0,6,3,0,10,0,54,53,0,0
"Dehalococcoidaceae",0,0,0,0,0,0,0,0,1,0,0
"Dehalococcoidia_unclassified",0,0,0,1,0,0,1,3,4,0,0
