"","Soil_1a","Soil_1b","Soil_1c","Soil_2a","Soil_2b","Soil_2c","Soil_3a","Soil_4a","Soil_4b","Water","Zymo_mock"
"Sporichthya",0,0,0,0,0,0,0,2,2,0,0
"Glycomyces",0,0,0,0,0,0,0,9,5,0,0
"Angustibacter",3,0,6,14,0,6,0,0,0,0,0
"Kineococcus",2,0,1,1,0,0,0,0,5,0,0
"Kineosporiaceae_unclassified",9,0,42,44,0,30,2,37,7,0,0
"Quadrisphaera",0,0,0,1,0,0,0,0,0,0,0
"Brevibacterium",0,0,0,1,0,2,0,1,0,10,0
"Actinotalea",0,0,1,39,0,25,2,2,5,11,0
"Cellulomonas",3,0,10,98,0,51,0,0,0,0,0
"Demequina",0,0,0,0,0,0,0,2,13,0,0
"Demequinaceae_unclassified",0,0,0,0,0,0,0,0,2,0,0
"Brachybacterium",0,0,0,0,0,0,0,0,1,0,0
"Intrasporangiaceae_unclassified",21,0,64,51,1,58,29,124,141,3,0
"Ornithinimicrobium",0,0,0,16,0,15,0,0,0,0,0
"Agromyces",0,0,4,10,0,17,2,229,146,0,0
"Candidatus_Limnoluna",0,0,0,0,0,0,1,0,0,0,0
"Microbacteriaceae_unclassified",3,0,8,13,0,20,1,57,39,1,0
"Glutamicibacter",0,0,0,0,0,1,0,14,9,0,0
"Kocuria",0,0,0,30,0,10,1,28,51,3,0
"Micrococcaceae_unclassified",0,0,0,17,0,11,2,18,38,14,0
"Paenarthrobacter",5,0,26,5,0,0,0,5,3,0,0
"Paeniglutamicibacter",0,0,0,0,0,0,0,63,102,0,0
"Pseudarthrobacter",34,0,79,153,0,85,13,523,682,0,0
"Rothia",0,0,0,0,0,0,0,0,0,13,0
"Micrococcales_unclassified",0,0,1,2,0,8,1,27,36,7,0
"Isoptericola",0,0,0,1,0,0,0,7,7,0,0
"Promicromonospora",0,0,2,0,0,2,0,8,5,0,0
"Sanguibacter",0,0,0,0,0,0,0,2,0,0,0
"Actinocatenispora",0,0,1,0,0,0,0,0,0,0,0
"Actinoplanes",38,0,77,32,0,16,2,14,44,0,0
"Dactylosporangium",5,0,0,0,0,1,0,0,0,0,0
"Hamadaea",11,0,13,0,0,1,0,1,0,0,0
"Longispora",0,0,0,1,0,1,0,2,0,0,0
"Luedemannella",25,0,12,26,0,13,1,2,6,0,0
"Micromonospora",18,0,18,23,0,23,1,13,11,0,0
"Micromonosporaceae_unclassified",346,0,480,370,0,327,19,95,57,0,0
"Phytomonospora",0,0,0,0,0,1,0,1,0,0,0
"Rhizocola",0,0,0,0,0,1,9,0,0,0,0
"Virgisporangium",6,0,3,15,0,5,6,2,0,0,0
"PeM15_ge",0,0,0,0,0,0,2,5,3,0,0
"Actinopolymorpha",0,0,1,0,0,0,0,0,0,0,0
"Aeromicrobium",7,0,7,2,0,4,0,33,29,0,0
"Kribbella",165,0,256,18,0,11,0,0,0,1,0
"Marmoricola",55,0,108,251,0,213,22,328,433,0,0
"Mumia",0,0,0,0,0,0,0,1,0,0,0
"Nocardioidaceae_unclassified",8,0,19,13,0,13,11,3,6,0,0
"Nocardioides",124,0,264,265,0,326,13,377,377,18,0
"Tenggerimyces",0,0,1,0,0,1,0,0,0,0,0
"Jiangella",0,0,0,1,0,0,0,0,0,0,0
"Propionibacteriaceae_unclassified",0,0,0,178,0,228,2,8,8,0,0
"Actinomycetospora",3,0,17,25,0,16,1,17,18,3,0
"Actinophytocola",98,0,35,1,0,0,0,0,0,0,0
